seed,model,job_id,ndcg@5,map@5,ndcg@10,map@10
23,M2,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
23,M2,JOB_71,0.6423984527479734,0.25,0.7292490759559674,0.25
23,M2,JOB_74,1.0,0.0,1.0,0.0
42,H,JOB_01,1.0,0.0,1.0,0.0
42,H,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
42,H,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
42,H,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
42,H,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
42,H,JOB_23,0.9084880857554961,1.0,0.9455109115315712,1.0
42,H,JOB_29,1.0,1.0,1.0,1.0
42,H,JOB_51,1.0,1.0,1.0,1.0
42,H,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
42,H,JOB_60,0.8145672023038535,0.5833333333333333,0.8145672023038535,0.5833333333333333
42,H,JOB_71,0.6511450647445489,0.2,0.7374083548619565,0.2
42,H,JOB_74,1.0,0.0,1.0,0.0
42,B1,JOB_01,1.0,0.0,1.0,0.0
42,B1,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
42,B1,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
42,B1,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
42,B1,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
42,B1,JOB_23,0.9084880857554961,1.0,0.9455109115315712,1.0
42,B1,JOB_29,1.0,1.0,1.0,1.0
42,B1,JOB_51,1.0,1.0,1.0,1.0
42,B1,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
42,B1,JOB_60,0.8145672023038535,0.5833333333333333,0.8145672023038535,0.5833333333333333
42,B1,JOB_71,0.6511450647445489,0.2,0.7374083548619565,0.2
42,B1,JOB_74,1.0,0.0,1.0,0.0
42,B2,JOB_01,1.0,0.0,1.0,0.0
42,B2,JOB_02,0.6348734152918568,0.3666666666666667,0.6348734152918568,0.3666666666666667
42,B2,JOB_14,0.6992148198508501,0.0,0.9330795243082165,0.0
42,B2,JOB_20,0.9832184408687481,1.0,0.9832184408687481,1.0
42,B2,JOB_21,0.7136205775898136,0.6666666666666666,0.8164439423782777,0.8333333333333334
42,B2,JOB_23,0.938506417451168,1.0,0.9755292432272432,1.0
42,B2,JOB_29,1.0,1.0,1.0,1.0
42,B2,JOB_51,0.8404207565708445,1.0,0.8783099902424529,1.0
42,B2,JOB_52,0.5680531818719479,0.2,0.6461412856608912,0.2
42,B2,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
42,B2,JOB_71,0.9129675424759451,1.0,0.9816495102377716,1.0
42,B2,JOB_74,1.0,0.0,1.0,0.0
42,M1,JOB_01,1.0,0.0,1.0,0.0
42,M1,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
42,M1,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
42,M1,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
42,M1,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
42,M1,JOB_23,0.9224037382324788,1.0,0.9594265640085539,1.0
42,M1,JOB_29,1.0,1.0,1.0,1.0
42,M1,JOB_51,0.8404207565708445,1.0,0.8783099902424529,1.0
42,M1,JOB_52,0.6120716001055806,0.25,0.690159703894524,0.25
42,M1,JOB_60,0.8145672023038535,0.5833333333333333,0.8145672023038535,0.5833333333333333
42,M1,JOB_71,0.6423984527479734,0.25,0.7292490759559674,0.25
42,M1,JOB_74,1.0,0.0,1.0,0.0
42,M2,JOB_01,1.0,0.0,1.0,0.0
42,M2,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
42,M2,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
42,M2,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
42,M2,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
42,M2,JOB_23,0.9224037382324788,1.0,0.9594265640085539,1.0
42,M2,JOB_29,1.0,1.0,1.0,1.0
42,M2,JOB_51,0.8698687319194839,1.0,0.9007660711870077,1.0
42,M2,JOB_52,0.5023423808901221,0.2,0.5804304846790656,0.2
42,M2,JOB_60,0.9514426589871553,0.8333333333333333,0.9514426589871553,0.8333333333333333
42,M2,JOB_71,0.6423984527479734,0.25,0.7292490759559674,0.25
42,M2,JOB_74,1.0,0.0,1.0,0.0
67,H,JOB_01,1.0,0.0,1.0,0.0
67,H,JOB_02,0.6597184516316583,0.41666666666666663,0.6597184516316583,0.41666666666666663
67,H,JOB_14,0.7860137352654724,0.0,0.8990671370233444,0.0
67,H,JOB_20,0.804532155482531,0.5,0.804532155482531,0.5
67,H,JOB_21,0.8178747578506881,0.5555555555555555,0.9206981226391523,0.7222222222222222
67,H,JOB_23,0.9084880857554961,1.0,0.9455109115315712,1.0
